asvs_requirement,chapter,section,level,applicability,status,evidence,notes
v5.0.0-1.3.4,Encoding and Sanitization,Sanitization,2,Not Applicable,Not Applicable,,Journeyman does not accept user-supplied SVG content.
v5.0.0-1.3.5,Encoding and Sanitization,Sanitization,2,Not Applicable,Not Applicable,,"Journeyman does not render user-supplied Markdown, CSS, XSL, BBCode or equivalent scriptable markup languages."
v5.0.0-1.3.6,Encoding and Sanitization,Sanitization,2,Applicable,Automated,tests/security/test_outbound_security_controls.py; docs/security/OUTBOUND_COMMUNICATION.md,Production outbound destinations are restricted by a sysadmin-owned host/port allowlist and validated again at runtime; special local IP targets are rejected.
v5.0.0-1.3.7,Encoding and Sanitization,Sanitization,2,Applicable,Automated,tests/security/test_injection_controls.py::test_inventory_bindings_reject_general_jinja_expressions; tests/security/test_injection_controls.py::test_inventory_bindings_allow_declared_scalar_substitution_only,Inventory bindings implement restricted identifier substitution rather than general Jinja template evaluation.
v5.0.0-1.3.8,Encoding and Sanitization,Sanitization,2,Not Applicable,Not Applicable,,Journeyman is a Python application and does not use JNDI.
v5.0.0-1.3.9,Encoding and Sanitization,Sanitization,2,Not Applicable,Not Applicable,,Journeyman does not use memcache.
v5.0.0-1.3.10,Encoding and Sanitization,Sanitization,2,Applicable,Automated,tests/security/test_encoding_sanitization_controls.py::test_package_runtime_values_are_not_interpolated_into_regex_syntax; docs/security/ENCODING_SANITIZATION.md,Developer-controlled Python format/template syntax is kept separate from untrusted values; inventory template syntax is independently restricted and runtime values are supplied as data.
v5.0.0-1.3.11,Encoding and Sanitization,Sanitization,2,Not Applicable,Not Applicable,,Journeyman does not currently submit untrusted input to SMTP or IMAP systems.
v5.0.0-1.3.12,Encoding and Sanitization,Sanitization,3,Applicable,Automated,tests/security/test_safe_regex_controls.py,"Administrator-defined Package regexes use a conservative safe subset, reject dangerous constructs, and bound match input length before Python re evaluation."
v5.0.0-1.4.1,Encoding and Sanitization,"Memory, String, and Unmanaged Code",2,Not Applicable,Not Applicable,,Journeyman application code is memory-safe Python and contains no project-authored unmanaged pointer/string handling.
v5.0.0-1.4.2,Encoding and Sanitization,"Memory, String, and Unmanaged Code",2,Not Applicable,Not Applicable,,Journeyman application arithmetic uses Python integers; unmanaged fixed-width integer overflow is not an application-code concern.
v5.0.0-1.4.3,Encoding and Sanitization,"Memory, String, and Unmanaged Code",2,Not Applicable,Not Applicable,,Journeyman application code is memory-managed Python and contains no project-authored manual allocation/free pointer lifecycle.
v5.0.0-1.5.1,Encoding and Sanitization,Safe Deserialization,1,Not Applicable,Not Applicable,,Journeyman does not currently parse untrusted XML.
v5.0.0-1.5.2,Encoding and Sanitization,Safe Deserialization,2,Applicable,Automated,tests/security/test_injection_controls.py::test_yaml_deserialization_uses_safe_loaders_only,PyYAML deserialization is regression-checked to prohibit unsafe/full loader entry points; JSON uses the standard data-only parser.
v5.0.0-1.5.3,Encoding and Sanitization,Safe Deserialization,3,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_safe_data_parsers_preserve_unicode_without_reinterpretation,"Unicode data is round-tripped consistently through the standard JSON, safe-YAML and URL form/query parsers used by Journeyman without reinterpretation."
v5.0.0-2.1.1,Validation and Business Logic,Validation and Business Logic Documentation,1,Applicable,Manually Verified,docs/security/VALIDATION_BUSINESS_LOGIC.md,Validation rules and trusted server-side validation boundaries are documented.
v5.0.0-2.1.2,Validation and Business Logic,Validation and Business Logic Documentation,2,Applicable,Manually Verified,docs/security/VALIDATION_BUSINESS_LOGIC.md,Logical/contextual consistency rules for related Package inputs and preview state are documented.
v5.0.0-2.1.3,Validation and Business Logic,Validation and Business Logic Documentation,2,Applicable,Manually Verified,docs/security/VALIDATION_BUSINESS_LOGIC.md,Current business-logic limits and known missing anti-automation limits are documented.
v5.0.0-2.2.1,Validation and Business Logic,Input Validation,1,Applicable,Automated,tests/test_environments.py::test_environment_rejects_shell_metacharacters_in_ansible_config_path; tests/test_environments.py::test_environment_rejects_parent_traversal_in_ansible_config_path; tests/test_project_package_security.py::test_email_addresses_reject_invalid_item; tests/test_project_package_security.py::test_package_choice_rejects_value_not_offered_by_server,Security-sensitive and typed inputs have positive/server-side validation regression coverage.
v5.0.0-2.2.2,Validation and Business Logic,Input Validation,1,Applicable,Automated,tests/test_project_package_security.py::test_package_choice_rejects_value_not_offered_by_server; tests/test_environments.py::test_environment_rejects_shell_metacharacters_in_ansible_config_path,Direct service/HTTP submissions that bypass browser controls are rejected by trusted server-side validation.
v5.0.0-2.2.3,Validation and Business Logic,Input Validation,2,Applicable,Automated,tests/test_project_package_security.py::test_hidden_conditional_value_is_ignored; tests/test_project_package_security.py::test_conditionally_required_value_is_enforced,Related Package input conditions are re-evaluated on the server; hidden values are ignored and conditional requirements enforced.
v5.0.0-2.3.1,Validation and Business Logic,Business Logic Security,1,Applicable,Automated,tests/test_project_package_security.py::test_launch_token_is_bound_to_user_and_package; tests/test_project_package_security.py::test_tampered_launch_token_is_rejected; tests/test_project_package_security.py::test_package_definition_change_invalidates_preview,"Package preview/confirm state is cryptographically bound to the user/package and definition digest, preventing skipped/tampered launch-flow state."
v5.0.0-2.3.2,Validation and Business Logic,Business Logic Security,2,Applicable,Automated,tests/security/test_validation_business_logic_controls.py::test_project_parallelism_is_bounded_in_form_and_execution_service; tests/security/test_validation_business_logic_controls.py::test_package_validation_is_enforced_by_server_side_service,Documented Project concurrency and Package validation limits are enforced server-side.
v5.0.0-2.3.3,Validation and Business Logic,Business Logic Security,2,Applicable,Automated,tests/security/test_validation_business_logic_controls.py::test_persistence_paths_explicitly_rollback_failed_transactions,Database-backed persistence paths use explicit rollback on failed multi-object operations; external automation side effects are not claimed to be transactional.
v5.0.0-2.3.4,Validation and Business Logic,Business Logic Security,2,Not Applicable,Not Applicable,,"Journeyman has no user-reservable limited-quantity business resource such as inventory stock, seats, appointments, or balances; execution scheduling is covered by separate atomic dispatch/claim controls."
v5.0.0-2.3.5,Validation and Business Logic,Business Logic Security,3,Applicable,Deferred,,Journeyman can perform high-impact operational changes but does not yet provide mandatory multi-user/four-eyes approval for designated high-value workflows.
v5.0.0-2.4.1,Validation and Business Logic,Anti-automation,2,Applicable,Automated,tests/security/test_costly_operation_rate_limits.py; docs/security/COSTLY_OPERATION_RATE_LIMITS.md,"Database-backed per-user and global budgets bound Project/Package preview and launch, inventory refresh, repository synchronization, and managed environment build/rebuild operations."
v5.0.0-2.4.2,Validation and Business Logic,Anti-automation,3,Not Applicable,Not Applicable,,Journeyman is an automation/orchestration product and intentionally supports scheduled and machine-speed execution; requiring human-speed transaction timing would conflict with the product purpose.
v5.0.0-3.1.1,Web Frontend Security,Web Frontend Security Documentation,3,Applicable,Manually Verified,docs/security/WEB_FRONTEND_SECURITY.md,Documents required browser security features and unsupported-browser behaviour.
v5.0.0-3.2.1,Web Frontend Security,Unintended Content Interpretation,1,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,"Browser responses are constrained with nosniff, CSP, COOP and CORP headers."
v5.0.0-3.2.2,Web Frontend Security,Unintended Content Interpretation,1,Applicable,Manually Verified,docs/security/WEB_FRONTEND_SECURITY.md,Server-rendered values use Jinja autoescaping; dynamic innerHTML use was reviewed and user-controlled flowchart values are escaped before insertion.
v5.0.0-3.2.3,Web Frontend Security,Unintended Content Interpretation,3,Applicable,Deferred,,No comprehensive DOM-clobbering/static client-JavaScript analysis is enforced yet; client code should be refactored and linted before claiming this Level-3 control.
v5.0.0-3.3.1,Web Frontend Security,Cookie Setup,1,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_production_session_cookie_is_host_scoped_and_hardened,Production authentication cookie uses the __Host- prefix and Secure attribute.
v5.0.0-3.3.2,Web Frontend Security,Cookie Setup,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_production_session_cookie_is_host_scoped_and_hardened,Production session cookie explicitly uses SameSite=Lax.
v5.0.0-3.3.3,Web Frontend Security,Cookie Setup,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_production_session_cookie_is_host_scoped_and_hardened,"Production session cookie uses __Host-, Path=/ and no Domain attribute."
v5.0.0-3.3.4,Web Frontend Security,Cookie Setup,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_production_session_cookie_is_host_scoped_and_hardened,Production session cookie is HttpOnly and is delivered as a cookie rather than exposed through application JavaScript.
v5.0.0-3.3.5,Web Frontend Security,Cookie Setup,3,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_oversized_browser_session_is_cleared_instead_of_emitted; app/security_session.py,Journeyman enforces an explicit maximum serialized signed-session size and fails closed by clearing an oversized session rather than emitting a truncation-prone cookie.
v5.0.0-3.4.1,Web Frontend Security,Browser Security Mechanism Headers,1,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_managed_nginx_emits_hsts_for_tls_responses; tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,Managed TLS responses enforce HSTS for at least one year including subdomains.
v5.0.0-3.4.2,Web Frontend Security,Browser Security Mechanism Headers,1,Not Applicable,Not Applicable,,Journeyman does not expose a browser cross-origin API and does not emit Access-Control-Allow-Origin.
v5.0.0-3.4.3,Web Frontend Security,Browser Security Mechanism Headers,2,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_csp_uses_per_response_nonce_without_unsafe_inline; tests/security/test_asvs_automated_closeout.py::test_templates_have_no_inline_event_handlers_or_style_attributes; tests/security/test_asvs_automated_closeout.py::test_all_inline_script_and_style_blocks_carry_csp_nonce,Every response receives a fresh CSP nonce; unsafe-inline is removed and regression tests prohibit inline event/style attributes and unnonced inline script/style blocks.
v5.0.0-3.4.4,Web Frontend Security,Browser Security Mechanism Headers,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,All application responses receive X-Content-Type-Options: nosniff.
v5.0.0-3.4.5,Web Frontend Security,Browser Security Mechanism Headers,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,Application responses use Referrer-Policy: same-origin.
v5.0.0-3.4.6,Web Frontend Security,Browser Security Mechanism Headers,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,CSP frame-ancestors none prevents embedding by default.
v5.0.0-3.4.7,Web Frontend Security,Browser Security Mechanism Headers,3,Applicable,Deferred,,CSP violation reporting is not configured.
v5.0.0-3.4.8,Web Frontend Security,Browser Security Mechanism Headers,3,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,Document responses receive Cross-Origin-Opener-Policy: same-origin.
v5.0.0-3.5.1,Web Frontend Security,Browser Origin Separation,1,Applicable,Automated,tests/test_csrf.py,State-changing browser requests are protected with server-validated CSRF tokens.
v5.0.0-3.5.2,Web Frontend Security,Browser Origin Separation,1,Not Applicable,Not Applicable,,Journeyman does not rely on CORS preflight as its authorization or CSRF control.
v5.0.0-3.5.3,Web Frontend Security,Browser Origin Separation,1,Applicable,Manually Verified,docs/security/WEB_FRONTEND_SECURITY.md; tests/test_csrf.py,State-changing UI operations use non-safe methods and CSRF protection; route review is documented.
v5.0.0-3.5.4,Web Frontend Security,Browser Origin Separation,2,Not Applicable,Not Applicable,,Journeyman is a single web application origin; there are no separately hosted cooperating browser applications requiring origin isolation.
v5.0.0-3.5.5,Web Frontend Security,Browser Origin Separation,2,Not Applicable,Not Applicable,,Journeyman does not use the browser postMessage interface.
v5.0.0-3.5.6,Web Frontend Security,Browser Origin Separation,3,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_frontend_does_not_use_postmessage_jsonp_or_obsolete_plugin_technologies,Frontend source regression test prohibits JSONP usage.
v5.0.0-3.5.7,Web Frontend Security,Browser Origin Separation,3,Not Applicable,Not Applicable,,Journeyman does not return authorization-protected data through JavaScript resource responses.
v5.0.0-3.5.8,Web Frontend Security,Browser Origin Separation,3,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_application_emits_browser_security_headers,Authenticated resources are constrained with Cross-Origin-Resource-Policy: same-origin.
v5.0.0-3.6.1,Web Frontend Security,External Resource Integrity,3,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_client_assets_are_local_not_third_party_dependencies,Current executable/style client assets are served locally; there are no external CDN assets requiring SRI.
v5.0.0-3.7.1,Web Frontend Security,Other Browser Security Considerations,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_frontend_does_not_use_postmessage_jsonp_or_obsolete_plugin_technologies,Frontend source regression test prohibits obsolete plugin technologies.
v5.0.0-3.7.2,Web Frontend Security,Other Browser Security Considerations,2,Applicable,Automated,tests/security/test_web_frontend_security_controls.py::test_login_redirect_rejects_external_destinations,User-controlled login redirect destinations are restricted to same-application relative paths.
v5.0.0-3.7.3,Web Frontend Security,Other Browser Security Considerations,3,Not Applicable,Not Applicable,,Journeyman has no intended automatic navigation to external domains; user-controlled external login redirects are rejected rather than warned/allowed.
v5.0.0-3.7.4,Web Frontend Security,Other Browser Security Considerations,3,Not Applicable,Not Applicable,,Journeyman has no single public top-level domain suitable for universal browser HSTS preload; deployments may use private DNS names.
v5.0.0-3.7.5,Web Frontend Security,Other Browser Security Considerations,3,Applicable,Deferred,,Journeyman documents required browser security mechanisms but does not perform browser capability detection and block/warn unsupported clients.
v5.0.0-4.1.1,API and Web Service,Generic Web Service Security,1,Applicable,Automated,tests/security/test_api_web_service_controls.py::test_api_response_content_type_and_length_match_body,API responses declare media types matching their bodies; JSON uses the JSON media type and UTF-8 semantics.
v5.0.0-4.1.2,API and Web Service,Generic Web Service Security,2,Applicable,Automated,tests/security/test_api_web_service_controls.py::test_managed_http_listener_does_not_redirect_api_requests_to_https,Managed HTTP listener redirects human-facing paths but returns 426 for /api/ so machine clients cannot hide an insecure first hop behind a redirect.
v5.0.0-4.1.3,API and Web Service,Generic Web Service Security,2,Applicable,Automated,tests/security/test_api_web_service_controls.py::test_proxy_headers_are_owned_by_single_loopback_reverse_proxy,Packaged Gunicorn binds loopback only; ProductionConfig trusts one proxy and managed Nginx controls forwarded headers.
v5.0.0-4.1.4,API and Web Service,Generic Web Service Security,3,Applicable,Automated,tests/security/test_api_web_service_controls.py::test_runner_api_blocks_unsupported_http_methods,Flask route method declarations reject unsupported API methods with HTTP 405.
v5.0.0-4.1.5,API and Web Service,Generic Web Service Security,3,Applicable,Deferred,,"Highly sensitive runner traffic uses TLS, runner authentication, dispatch tokens and AEAD execution-data envelopes, but Journeyman does not add a separate per-message digital signature to all sensitive API transactions."
v5.0.0-4.2.1,API and Web Service,HTTP Message Structure Validation,2,Applicable,Manually Verified,docs/security/V4.2.1-http-request-framing-test.md,"Deployed Nginx -> Gunicorn -> Journeyman chain manually tested with conflicting Content-Length, Content-Length plus Transfer-Encoding, duplicate Transfer-Encoding, and malformed chunk framing. All malformed requests were rejected with HTTP 400."
v5.0.0-4.2.2,API and Web Service,HTTP Message Structure Validation,3,Applicable,Automated,tests/security/test_api_web_service_controls.py::test_api_response_content_type_and_length_match_body,Framework-generated API responses use consistent body framing and Content-Length.
v5.0.0-4.2.3,API and Web Service,HTTP Message Structure Validation,3,Not Applicable,Not Applicable,,"Managed Journeyman Nginx configuration does not enable HTTP/2 or HTTP/3, so HTTP/2/3 connection-specific header handling is outside the current deployment surface."
v5.0.0-4.2.4,API and Web Service,HTTP Message Structure Validation,3,Not Applicable,Not Applicable,,"Managed Journeyman Nginx configuration does not enable HTTP/2 or HTTP/3, so HTTP/2/3 header CR/LF validation is outside the current deployment surface."
v5.0.0-4.2.5,API and Web Service,HTTP Message Structure Validation,3,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_outbound_urls_have_explicit_length_bound; app/services/outbound_security.py,"Central outbound validation bounds administrator-configured HTTP/HTTPS request targets and generated authentication header values, and rejects CR/LF header injection."
v5.0.0-4.3.1,API and Web Service,GraphQL,2,Not Applicable,Not Applicable,,Journeyman does not implement GraphQL.
v5.0.0-4.3.2,API and Web Service,GraphQL,2,Not Applicable,Not Applicable,,Journeyman does not implement GraphQL.
v5.0.0-4.4.1,API and Web Service,WebSocket,1,Not Applicable,Not Applicable,,Journeyman does not implement WebSocket; browser live updates use Server-Sent Events over HTTPS.
v5.0.0-4.4.2,API and Web Service,WebSocket,2,Not Applicable,Not Applicable,,Journeyman does not implement WebSocket.
v5.0.0-4.4.3,API and Web Service,WebSocket,2,Not Applicable,Not Applicable,,Journeyman does not implement WebSocket or dedicated WebSocket session tokens.
v5.0.0-4.4.4,API and Web Service,WebSocket,2,Not Applicable,Not Applicable,,Journeyman does not implement WebSocket or WebSocket session-token transitions.
v5.0.0-5.1.1,File Handling,File Handling Documentation,2,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman has no end-user file-upload feature; repository automation content is obtained from administrator-configured Git sources.
v5.0.0-5.2.1,File Handling,File Upload and Content,1,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman has no browser/user file-upload feature to which an upload size limit applies.
v5.0.0-5.2.2,File Handling,File Upload and Content,1,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not accept user-uploaded files requiring extension/content-type validation.
v5.0.0-5.2.3,File Handling,File Upload and Content,2,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not accept user-uploaded compressed archives.
v5.0.0-5.2.4,File Handling,File Upload and Content,3,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman has no per-user file-upload/storage facility.
v5.0.0-5.2.5,File Handling,File Upload and Content,3,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not accept compressed file uploads from users.
v5.0.0-5.2.6,File Handling,File Upload and Content,3,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not accept image uploads.
v5.0.0-5.3.1,File Handling,File Storage,1,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not store user-uploaded files in a public web-served directory.
v5.0.0-5.3.2,File Handling,File Storage,1,Applicable,Automated,tests/security/test_file_handling_controls.py::test_repository_path_cannot_escape_configured_root; tests/security/test_file_handling_controls.py::test_runner_artifact_filename_uses_internal_ids_not_repository_name; tests/test_environments.py::test_environment_rejects_parent_traversal_in_ansible_config_path,Application-managed paths are derived from internal IDs/trusted values and path traversal is rejected; administrator-configurable paths use semantic validation.
v5.0.0-5.3.3,File Handling,File Storage,3,Applicable,Automated,tests/security/test_file_handling_controls.py::test_remote_runner_safe_extract_rejects_parent_traversal; tests/security/test_file_handling_controls.py::test_remote_runner_safe_extract_rejects_symlink_and_hardlink; tests/security/test_file_handling_controls.py::test_remote_runner_safe_extract_rejects_special_files,"Remote runner archive extraction rejects destination escape, links, and special files before extracting regular files/directories."
v5.0.0-5.4.1,File Handling,File Download,2,Applicable,Automated,tests/security/test_file_handling_controls.py::test_runner_artifact_filename_uses_internal_ids_not_repository_name; tests/test_runners.py::test_remote_runner_downloads_checksum_verified_repository_artifact,Repository artifact download names are generated from internal snapshot/commit identifiers and served as attachments.
v5.0.0-5.4.2,File Handling,File Download,2,Applicable,Automated,tests/security/test_file_handling_controls.py::test_runner_artifact_filename_uses_internal_ids_not_repository_name; tests/test_runners.py::test_remote_runner_downloads_checksum_verified_repository_artifact,Untrusted repository/display names cannot control Content-Disposition; Flask receives a generated safe download_name.
v5.0.0-5.4.3,File Handling,File Download,2,Not Applicable,Not Applicable,docs/security/FILE_HANDLING.md,Journeyman does not serve user-supplied files to end users. Runner repository artefacts are administrator-configured automation source generated from an immutable Git commit and delivered only to authenticated runners.
v5.0.0-6.1.1,Authentication,Authentication Documentation,1,Applicable,Automated,tests/security/test_authentication_rate_limiting.py,Journeyman enforces bounded per-source and per-account/source login attempts with HTTP 429 responses and audit logging.
v5.0.0-6.1.2,Authentication,Authentication Documentation,2,Not Applicable,Not Applicable,,Journeyman does not allow users to create or change application-owned passwords; password policy belongs to Active Directory.
v5.0.0-6.1.3,Authentication,Authentication Documentation,2,Applicable,Manually Verified,docs/security/AUTHENTICATION.md,"The normal LDAP pathway and local break-glass fallback administrator pathway are documented together, including their differing security properties."
v5.0.0-6.2.1,Authentication,Password Security,1,Not Applicable,Not Applicable,,Journeyman has no user registration/password-setting facility; Active Directory owns minimum password length.
v5.0.0-6.2.2,Authentication,Password Security,1,Not Applicable,Not Applicable,,Journeyman does not own user passwords or provide password-change functionality; users change directory passwords outside Journeyman.
v5.0.0-6.2.3,Authentication,Password Security,1,Not Applicable,Not Applicable,,Journeyman provides no password-change endpoint.
v5.0.0-6.2.4,Authentication,Password Security,1,Not Applicable,Not Applicable,,Journeyman provides no account registration or password-change endpoint; password blocklist policy belongs to Active Directory.
v5.0.0-6.2.5,Authentication,Password Security,1,Not Applicable,Not Applicable,,Journeyman does not define composition rules for user-set passwords because it does not set or change directory passwords.
v5.0.0-6.2.6,Authentication,Password Security,1,Applicable,Automated,tests/security/test_authentication_controls.py::test_login_password_field_is_masked_and_does_not_disable_paste,Interactive password entry is masked with an HTML password field.
v5.0.0-6.2.7,Authentication,Password Security,1,Applicable,Automated,tests/security/test_authentication_controls.py::test_login_password_field_is_masked_and_does_not_disable_paste,Journeyman does not disable paste and advertises current-password autocomplete for password-manager/browser integration.
v5.0.0-6.2.8,Authentication,Password Security,1,Applicable,Automated,tests/security/test_authentication_controls.py::test_login_passes_password_to_directory_exactly_as_received,"The submitted password is forwarded to directory authentication without trimming, case conversion, or truncation."
v5.0.0-6.2.9,Authentication,Password Security,2,Applicable,Automated,tests/security/test_authentication_controls.py::test_login_allows_password_longer_than_64_characters,Journeyman forwards a 128-character password without application-side truncation or rejection.
v5.0.0-6.2.10,Authentication,Password Security,2,Not Applicable,Not Applicable,,Journeyman has no application-owned password expiry or rotation policy; directory credential lifetime belongs to Active Directory.
v5.0.0-6.2.11,Authentication,Password Security,2,Not Applicable,Not Applicable,,Journeyman does not create or change user passwords; context-specific password blocklists belong to Active Directory.
v5.0.0-6.2.12,Authentication,Password Security,2,Not Applicable,Not Applicable,,Journeyman does not create or change user passwords; breached-password screening belongs to Active Directory.
v5.0.0-6.3.1,Authentication,General Authentication Security,1,Applicable,Automated,tests/security/test_authentication_rate_limiting.py,Journeyman enforces bounded per-source and per-account/source login attempts with HTTP 429 responses and audit logging.
v5.0.0-6.3.2,Authentication,General Authentication Security,1,Applicable,Automated,tests/security/test_authentication_controls.py::test_fallback_administrator_is_unusable_until_hash_is_provisioned; tests/security/test_authentication_controls.py::test_fallback_administrator_rejects_unsafe_hash_file_permissions,The configured fallback administrator has no usable default credential and remains unusable until an administrator explicitly provisions a safely protected password hash.
v5.0.0-6.3.3,Authentication,General Authentication Security,2,Applicable,Deferred,docs/security/AUTHENTICATION.md,Journeyman currently authenticates interactive users by direct LDAP password bind and does not enforce or verify a second authentication factor.
v5.0.0-6.3.4,Authentication,General Authentication Security,2,Applicable,Automated,tests/security/test_break_glass_lifecycle.py; docs/security/AUTHENTICATION.md,"The fallback administrator is a server-provisioned emergency pathway with a fixed non-renewable 60-minute lifetime, immediate expiry on logout, server-side deadline enforcement, revocation of all fallback sessions, explicit browser warnings, and audit evidence. Re-entry requires a fresh server-admin activation."
v5.0.0-6.3.5,Authentication,General Authentication Security,3,Applicable,Deferred,docs/security/AUTHENTICATION.md,"Authentication attempts are logged/audited, but Journeyman does not currently notify affected users of suspicious authentication attempts."
v5.0.0-6.3.6,Authentication,General Authentication Security,3,Not Applicable,Not Applicable,,Journeyman does not use email as an authentication factor.
v5.0.0-6.3.7,Authentication,General Authentication Security,3,Not Applicable,Not Applicable,,"Journeyman does not provide user credential, username, or email modification functionality."
v5.0.0-6.3.8,Authentication,General Authentication Security,3,Applicable,Deferred,docs/security/AUTHENTICATION.md,"LDAP failures are generic, but the fallback path is distinguishable and equivalent response timing/user-enumeration resistance has not been demonstrated."
